Datum;Tijd;Verbruik;Bedrag;Land
6-1-2016;13:36:02;2.880,99;€ 0,11;NL
7-1-2016;3:40:48;6.015,31;€ 0,23;NL
7-1-2016;16:52:18;2.389,53;€ 0,09;NL
7-1-2016;22:20:25;10.027,05;€ 0,38;NL
8-1-2016;21:14:48;13.150,58;€ 0,49;NL
9-1-2016;23:17:09;10.038,89;€ 0,38;NL
11-1-2016;3:40:38;5.183,77;€ 0,19;NL
11-1-2016;13:07:33;1.175,57;€ 0,05;NL
11-1-2016;16:09:26;69,409;€ 0,00;NL
11-1-2016;16:37:33;0,574;€ 0,00;NL
11-1-2016;16:56:09;1.142,69;€ 0,05;NL
11-1-2016;22:46:39;4.564,23;€ 0,17;NL
12-1-2016;10:57:03;10.699,54;€ 0,40;NL
12-1-2016;17:01:10;49,386;€ 0,00;NL
12-1-2016;17:12:29;531,719;€ 0,02;NL
12-1-2016;18:26:41;240,223;€ 0,01;NL
12-1-2016;21:18:54;197,057;€ 0,01;NL
12-1-2016;23:10:21;137,529;€ 0,01;NL
13-1-2016;0:26:48;2.783,19;€ 0,10;NL
13-1-2016;15:14:58;1.538,69;€ 0,06;NL
13-1-2016;18:05:26;40,655;€ 0,00;NL
13-1-2016;18:23:14;1.898,39;€ 0,07;NL
13-1-2016;22:27:24;7,666;€ 0,00;NL
13-1-2016;22:46:55;0,398;€ 0,00;NL
13-1-2016;22:57:32;8.250,94;€ 0,31;NL
14-1-2016;16:11:18;234,342;€ 0,01;NL
14-1-2016;17:12:06;8.028,32;€ 0,30;NL
15-1-2016;0:40:06;6.845,14;€ 0,26;NL
15-1-2016;14:44:20;98,66;€ 0,00;NL
15-1-2016;15:24:10;86,456;€ 0,00;NL
15-1-2016;15:27:21;3.956,37;€ 0,15;NL
15-1-2016;19:20:16;48,33;€ 0,00;NL
15-1-2016;20:17:30;600,473;€ 0,03;NL
16-1-2016;22:57:05;648,592;€ 0,03;NL
16-1-2016;23:48:15;24.615,86;€ 0,92;NL
17-1-2016;19:26:25;22.935,07;€ 0,85;NL
18-1-2016;23:32:24;23.002,83;€ 0,86;NL
20-1-2016;15:36:38;11.763,52;€ 0,44;NL
21-1-2016;12:24:31;91,076;€ 0,00;NL
21-1-2016;12:36:54;517,894;€ 0,02;NL
21-1-2016;14:06:37;263,616;€ 0,01;NL
21-1-2016;15:43:09;4.983,84;€ 0,19;NL
22-1-2016;9:07:14;159,626;€ 0,01;NL
22-1-2016;10:24:17;0,398;€ 0,00;NL
22-1-2016;10:43:15;0,398;€ 0,00;NL
22-1-2016;11:00:48;122,941;€ 0,01;NL
22-1-2016;11:49:39;38,247;€ 0,00;NL
22-1-2016;11:54:07;37,231;€ 0,00;NL
22-1-2016;11:56:52;34,233;€ 0,00;NL
22-1-2016;12:02:42;91,039;€ 0,00;NL
22-1-2016;12:08:06;533,731;€ 0,02;NL
22-1-2016;14:52:59;40,135;€ 0,00;NL
22-1-2016;15:03:59;23.564,48;€ 0,88;NL
22-1-2016;23:53:33;9.344,65;€ 0,35;NL
25-1-2016;15:25:18;6.799,62;€ 0,25;NL
26-1-2016;7:59:42;737,388;€ 0,03;NL
26-1-2016;10:49:04;192,352;€ 0,01;NL
26-1-2016;12:19:04;188,346;€ 0,01;NL
26-1-2016;16:29:03;160,169;€ 0,01;NL
26-1-2016;17:27:44;3.220,01;€ 0,12;NL
27-1-2016;11:14:29;31,261;€ 0,00;NL
27-1-2016;11:21:39;1.696,96;€ 0,06;NL
27-1-2016;17:37:02;10.207,56;€ 0,38;NL
28-1-2016;17:28:38;26,558;€ 0,00;NL
28-1-2016;18:12:32;2.001,09;€ 0,08;NL
29-1-2016;4:25:25;110,103;€ 0,01;NL
29-1-2016;4:58:34;802,644;€ 0,03;NL
29-1-2016;8:22:07;625,251;€ 0,03;NL
29-1-2016;10:48:25;202,311;€ 0,01;NL
29-1-2016;11:55:38;170,201;€ 0,01;NL
29-1-2016;12:52:24;1.711,61;€ 0,07;NL
29-1-2016;20:27:28;1.425,87;€ 0,06;NL
30-1-2016;2:38:24;1.995,32;€ 0,07;NL
30-1-2016;10:48:33;126,146;€ 0,01;NL
30-1-2016;11:40:05;4.836,02;€ 0,18;NL
30-1-2016;21:43:17;7,629;€ 0,00;NL
30-1-2016;22:17:39;75,646;€ 0,00;NL
30-1-2016;23:09:42;9.265,32;€ 0,35;NL
6-12-2015;11:54:28;197,644;€ 0,01;NL
6-12-2015;13:33:29;96,228;€ 0,00;NL
7-12-2015;18:42:22;36,077;€ 0,00;NL
7-12-2015;19:37:11;22,596;€ 0,00;NL
7-12-2015;20:05:35;24.838,43;€ 0,93;NL
8-12-2015;3:56:07;4.334,65;€ 0,16;NL
8-12-2015;17:34:33;9.342,10;€ 0,35;NL
8-12-2015;22:45:41;30,292;€ 0,00;NL
9-12-2015;7:22:42;1.518,11;€ 0,06;NL
9-12-2015;13:03:30;239,211;€ 0,01;NL
9-12-2015;17:40:03;1.711,90;€ 0,07;NL
9-12-2015;20:51:44;109,943;€ 0,01;NL
10-12-2015;7:15:34;5.884,05;€ 0,22;NL
10-12-2015;12:49:12;146,533;€ 0,01;NL
10-12-2015;13:01:06;18.099,81;€ 0,67;NL
10-12-2015;18:59:36;7,079;€ 0,00;NL
10-12-2015;19:21:45;6.470,04;€ 0,24;NL
11-12-2015;15:00:37;5.113,98;€ 0,19;NL
11-12-2015;18:03:53;205,401;€ 0,01;NL
11-12-2015;20:32:14;16,943;€ 0,00;NL
11-12-2015;22:59:18;329,833;€ 0,02;NL
12-12-2015;9:23:10;4.825,89;€ 0,18;NL
12-12-2015;14:32:44;61,339;€ 0,00;NL
