field1,field2,field3,field4,field5,field6,field7,field8
03/01/16,16:00,Gesprek,naar,062374XXXX,0.000578704,Û,0
05/01/16,16:15,Gesprek,naar,062374XXXX,0.000902778,Û,0
07/01/16,19:51,Gesprek,naar,062374XXXX,0.000486111,Û,0
19/01/16,10:06,Gesprek,naar,062374XXXX,0.000347222,Û,0
20/01/16,09:03,Gesprek,naar,062374XXXX,0.000543981,Û,0
22/01/16,16:27,Gesprek,naar,062465XXXX,4.62963E-05,Û,0
22/01/16,16:28,Gesprek,naar,062465XXXX,0.000173611,Û,0
22/01/16,16:28,Gesprek,naar,062465XXXX,5.78704E-05,Û,0
22/01/16,16:59,Gesprek,naar,062465XXXX,6.94444E-05,Û,0
25/01/16,15:00,Gesprek,naar,644196718,0.00181713,Û,0
26/01/16,16:39,Gesprek,naar,062374XXXX,0.000416667,Û,0
27/01/16,15:35,Gesprek,naar,062374XXXX,0.001736111,Û,0
27/01/16,17:48,Gesprek,naar,644196718,0.000706019,Û,0
28/01/16,11:25,Gesprek,naar,681785565,0.001921296,Û,0
05/01/16,18:08,Internet,gebruik,(10,kB),Û,0
05/01/16,18:17,Internet,gebruik,(1324,kB),Û,0
06/01/16,02:17,Internet,gebruik,(153,kB),Û,0
06/01/16,10:17,Internet,gebruik,(89,kB),Û,0
06/01/16,13:58,Internet,gebruik,(152,kB),Û,0
06/01/16,21:58,Internet,gebruik,(230,kB),Û,0
07/01/16,05:58,Internet,gebruik,(151,kB),Û,0
07/01/16,09:15,Internet,gebruik,(2067,kB),Û,0
07/01/16,16:31,Internet,gebruik,(5801,kB),Û,0
08/01/16,00:31,Internet,gebruik,(119,kB),Û,0
08/01/16,08:31,Internet,gebruik,(545,kB),Û,0
08/01/16,10:02,Internet,gebruik,(1863,kB),Û,0
08/01/16,18:02,Internet,gebruik,(248,kB),Û,0
09/01/16,02:02,Internet,gebruik,(456,kB),Û,0
09/01/16,10:02,Internet,gebruik,(17285,kB),Û,0
09/01/16,18:02,Internet,gebruik,(214,kB),Û,0
10/01/16,02:02,Internet,gebruik,(251,kB),Û,0
